Epoch	AverageEp_ret	StdEp_ret	MaxEp_ret	MinEp_ret	AverageEp_fairness	StdEp_fairness	MaxEp_fairness	MinEp_fairness	Ep_tx	EP_new	Ep_waiting	Ep_capacity	Ep_rbgused	Ep_bler	Ep_interf	LossPi	LossV	DeltaLossPi	DeltaLossV	AverageVVAL	StdVVAL	MaxVVAL	MinVVAL	Ep_rbginterf
0	33.165314	0.0	33.165314	33.165314	33.421677	0.0	33.421677	33.421677	1767051.8	6398663.0	4631611.5	0.0	1658.0	0.0	0.003735288	3.477335e-06	272.37665	-0.160614	-191.56113	0.01236299	0.0018873734	0.016887944	0.009000711	0.0038171187
1	32.900883	0.0	32.900883	32.900883	33.195553	0.0	33.195553	33.195553	1752961.9	6398663.0	4645701.5	0.0	1660.0	0.0	0.0037538505	6.866455e-07	194.79073	-0.16357368	-61.907883	9.819803	0.00015810592	9.8198395	9.818716	0.0038295698
2	32.778267	0.0	32.778267	32.778267	32.82348	0.0	32.82348	32.82348	1746428.0	6398663.0	4652235.5	0.0	1663.0	0.0	0.0037826775	8.342266e-06	175.39763	-0.15733333	-49.950912	12.660286	2.2266611e-05	12.660302	12.660132	0.003871391
3	32.390446	0.0	32.390446	32.390446	32.631195	0.0	32.631195	32.631195	1725766.0	6398663.0	4672897.5	0.0	1662.0	0.0	0.0038192996	1.5666485e-05	155.39755	-0.15078884	-43.052498	15.04333	2.6912547e-05	15.043335	15.043146	0.003918655
4	32.01982	0.0	32.01982	32.01982	32.600563	0.0	32.600563	32.600563	1706019.9	6398663.0	4692643.5	0.0	1664.0	0.0	0.0038842561	8.684397e-06	137.9789	-0.14981902	-38.098488	17.214655	0.0	17.214655	17.214655	0.003982131
5	31.488007	0.0	31.488007	31.488007	31.975225	0.0	31.975225	31.975225	1677683.8	6398663.0	4720979.5	0.0	1655.0	0.0	0.0038850564	1.25885e-06	120.053185	-0.13714461	-33.555656	19.251146	1.0157415e-05	19.251148	19.251076	0.003983551
6	31.045795	0.0	31.045795	31.045795	31.528322	0.0	31.528322	31.528322	1654122.1	6398663.0	4744541.0	0.0	1642.0	0.0	0.0038676278	1.1825561e-05	106.32296	-0.13490105	-30.238533	21.174603	1.8991293e-05	21.174606	21.17447	0.0039551463
7	30.187574	0.0	30.187574	30.187574	29.431644	0.0	29.431644	29.431644	1608396.1	6398663.0	4790267.0	0.0	1637.0	0.0	0.0039047713	7.6532365e-07	90.47473	-0.13313746	-26.40998	23.017767	3.6304817e-05	23.017847	23.017591	0.003998924
8	29.482546	0.0	29.482546	29.482546	28.40304	0.0	28.40304	28.40304	1570832.5	6398663.0	4827830.5	0.0	1629.0	0.0	0.0039385078	-6.8736076e-06	74.885216	-0.12899399	-22.38987	24.761826	7.965322e-06	24.76183	24.761776	0.0040279157
9	28.620514	0.0	28.620514	28.620514	26.799381	0.0	26.799381	26.799381	1524904.5	6398663.0	4873758.5	0.0	1621.0	0.0	0.0039456803	1.0712147e-05	61.570072	-0.12435428	-18.907486	26.391577	0.0	26.391577	26.391577	0.004050135
10	27.98613	0.0	27.98613	27.98613	25.8192	0.0	25.8192	25.8192	1491103.8	6398663.0	4907559.5	0.0	1606.0	0.0	0.0039208476	8.797645e-06	50.296844	-0.10237343	-15.807842	27.914497	0.0	27.914497	27.914497	0.0040207533
11	27.63262	0.0	27.63262	27.63262	25.647804	0.0	25.647804	25.647804	1472269.6	6398663.0	4926393.5	0.0	1591.0	0.0	0.0038825343	2.2816657e-06	43.102364	-0.0871877	-13.915089	29.332493	1.9073486e-06	29.33249	29.33249	0.0039766757
12	27.066536	0.0	27.066536	27.066536	25.15231	0.0	25.15231	25.15231	1442107.0	6398663.0	4956556.0	0.0	1584.0	0.0	0.0038886848	-1.66893e-07	34.850025	-0.08747689	-11.598692	30.685919	1.9073486e-06	30.68592	30.68592	0.003989609
13	26.786356	0.0	26.786356	26.786356	25.468075	0.0	25.468075	25.468075	1427179.0	6398663.0	4971484.0	0.0	1571.0	0.0	0.0038562932	-8.56638e-06	29.743944	-0.064662084	-10.166584	31.948013	0.0	31.948013	31.948013	0.0039543803
14	26.39086	0.0	26.39086	26.39086	25.832489	0.0	25.832489	25.832489	1406107.0	6398663.0	4992556.0	0.0	1563.0	0.0	0.0038385831	4.878044e-06	24.439257	-0.06325348	-8.630648	33.15198	0.0	33.15198	33.15198	0.003934646
