Epoch	AverageEp_ret	StdEp_ret	MaxEp_ret	MinEp_ret	AverageEp_fairness	StdEp_fairness	MaxEp_fairness	MinEp_fairness	Ep_tx	EP_new	Ep_waiting	Ep_capacity	Ep_rbgused	Ep_bler	Ep_interf	LossPi	LossV	DeltaLossPi	DeltaLossV	AverageVVAL	StdVVAL	MaxVVAL	MinVVAL	Ep_rbginterf
0	29.715845	0.0	29.715845	29.715845	0.0	0.0	0.0	0.0	1555126.9	6398663.0	4843536.5	0.0	1770.0	0.0	2.9624524	-2.9444693e-06	212.05988	-0.15407668	-158.31819	0.008087713	0.0023289728	0.021710996	0.0047117807	3.027243
1	29.798767	0.0	29.798767	29.798767	0.0	0.0	0.0	0.0	1559526.9	6398663.0	4839136.5	0.0	1770.0	0.0	2.9244092	1.7309188e-06	147.8178	-0.15569806	-54.898132	9.971034	0.00043529924	9.9711895	9.968068	2.9843237
2	29.928232	0.0	29.928232	29.928232	0.0	0.0	0.0	0.0	1566406.9	6398663.0	4832256.5	0.0	1770.0	0.0	2.910296	-1.2898445e-06	132.15916	-0.15555684	-43.399483	12.942444	0.00010616661	12.942496	12.941707	2.9742084
3	29.902683	0.0	29.902683	29.902683	0.0	0.0	0.0	0.0	1565350.9	6398663.0	4833312.5	0.0	1770.0	0.0	2.9142373	2.0384788e-07	118.76721	-0.14491677	-37.543472	15.377842	4.4461478e-05	15.377849	15.377531	2.973241
4	29.929266	0.0	29.929266	29.929266	0.0	0.0	0.0	0.0	1566654.9	6398663.0	4832008.5	0.0	1770.0	0.0	2.8905797	-1.4553069e-05	107.07022	-0.14358446	-33.538414	17.589943	4.0191233e-05	17.589947	17.589663	2.9497776
5	29.76495	0.0	29.76495	29.76495	0.0	0.0	0.0	0.0	1558646.9	6398663.0	4840016.5	0.0	1770.0	0.0	2.9277446	-5.403757e-06	95.19242	-0.14534217	-29.982018	19.667963	1.0789593e-05	19.667963	19.667887	2.9998057
6	29.765112	0.0	29.765112	29.765112	0.0	0.0	0.0	0.0	1557838.9	6398663.0	4840824.5	0.0	1769.0	0.0	2.862565	-5.4466723e-06	86.07496	-0.12540457	-27.36102	21.63932	4.755537e-05	21.639345	21.63902	2.931778
7	29.956598	0.0	29.956598	29.956598	0.0	0.0	0.0	0.0	1569126.9	6398663.0	4829536.5	0.0	1771.0	0.0	2.9074547	1.13248824e-07	79.48646	-0.079861	-25.522083	23.53706	6.168791e-05	23.53707	23.536629	2.9947882
8	30.081451	0.0	30.081451	30.081451	0.0	0.0	0.0	0.0	1574742.9	6398663.0	4823920.5	0.0	1770.0	0.0	3.0659328	2.3603438e-07	72.249	-0.08113307	-23.552101	25.383076	2.7625625e-05	25.383085	25.382929	3.1372187
9	29.783281	0.0	29.783281	29.783281	0.0	0.0	0.0	0.0	1559558.9	6398663.0	4839104.5	0.0	1770.0	0.0	3.089064	2.708435e-05	62.759846	-0.07703459	-20.85009	27.173225	5.722046e-06	27.17322	27.17322	3.1528423
10	29.953808	0.0	29.953808	29.953808	0.0	0.0	0.0	0.0	1568294.9	6398663.0	4830368.5	0.0	1770.0	0.0	3.1332479	-1.6198157e-05	57.749046	-0.0812497	-19.654968	28.877327	3.8146973e-06	28.877323	28.877323	3.2086837
