Epoch	AverageEp_ret	StdEp_ret	MaxEp_ret	MinEp_ret	AverageEp_fairness	StdEp_fairness	MaxEp_fairness	MinEp_fairness	Ep_tx	EP_new	Ep_waiting	Ep_capacity	Ep_rbgused	Ep_bler	Ep_interf	LossPi	LossV	DeltaLossPi	DeltaLossV	AverageVVAL	StdVVAL	MaxVVAL	MinVVAL	Ep_rbginterf
0	29.718342	0.0	29.718342	29.718342	0.0	0.0	0.0	0.0	1556998.9	6398663.0	4841664.5	0.0	1770.0	0.0	2.8250391	1.7166138e-07	213.38068	-0.17052157	-150.55591	0.023879554	0.001882807	0.02749444	0.018196113	2.9030018
1	29.764194	0.0	29.764194	29.764194	0.0	0.0	0.0	0.0	1560990.9	6398663.0	4837672.5	0.0	1770.0	0.0	2.9976776	-3.3140182e-07	157.46669	-0.16481358	-38.56285	8.885746	0.00088756456	8.886083	8.879727	3.0580468
2	29.61559	0.0	29.61559	29.61559	0.0	0.0	0.0	0.0	1552718.9	6398663.0	4845944.5	0.0	1770.0	0.0	3.0726192	-3.0755996e-07	142.6896	-0.15407641	-30.091576	10.808139	0.00018000304	10.808206	10.806914	3.133821
3	29.650965	0.0	29.650965	29.650965	0.0	0.0	0.0	0.0	1553696.2	6398663.0	4844967.0	0.0	1769.0	0.0	3.1053667	4.1484833e-07	134.61299	-0.13512743	-26.91713	12.365942	9.916534e-05	12.365983	12.36527	3.1747472
4	29.539145	0.0	29.539145	29.539145	0.0	0.0	0.0	0.0	1547312.2	6398663.0	4851351.0	0.0	1769.0	0.0	3.0116258	-2.3365021e-07	125.524345	-0.09702653	-24.724747	13.794579	6.5390355e-05	13.794607	13.794134	3.0771363
5	28.740097	0.0	28.740097	28.740097	0.0	0.0	0.0	0.0	1504824.2	6398663.0	4893839.0	0.0	1769.0	0.0	3.1831222	5.65052e-07	109.37831	-0.080584675	-21.614037	15.14955	4.7435304e-05	15.149571	15.149228	3.2492013
6	28.131968	0.0	28.131968	28.131968	0.0	0.0	0.0	0.0	1473376.2	6398663.0	4925287.0	0.0	1769.0	0.0	3.1989603	-1.0251999e-07	97.31243	-0.024190318	-19.390953	16.41877	3.667569e-05	16.418781	16.418518	3.2679214
7	27.313982	0.0	27.313982	27.313982	0.0	0.0	0.0	0.0	1431318.9	6398663.0	4967344.5	0.0	1770.0	0.0	3.384253	2.7894973e-07	84.234856	-0.007441354	-17.071114	17.625181	2.9694667e-05	17.625193	17.624979	3.4413228
8	26.655003	0.0	26.655003	26.655003	0.0	0.0	0.0	0.0	1396982.9	6398663.0	5001680.5	0.0	1770.0	0.0	3.5512557	-4.005432e-07	73.9476	-0.03205221	-15.227089	18.767479	2.4503306e-05	18.767487	18.767311	3.617566
9	26.377077	0.0	26.377077	26.377077	0.0	0.0	0.0	0.0	1381606.9	6398663.0	5017056.5	0.0	1770.0	0.0	3.8034825	9.4890595e-07	66.10793	0.05417165	-13.813416	19.856613	2.1259879e-05	19.856625	19.856472	3.8720288
10	25.756556	0.0	25.756556	25.756556	0.0	0.0	0.0	0.0	1348430.9	6398663.0	5050232.5	0.0	1770.0	0.0	4.0686793	5.38826e-07	56.960716	-0.04490709	-12.226852	20.904936	1.865305e-05	20.904945	20.904812	4.133248
11	25.199875	0.0	25.199875	25.199875	0.0	0.0	0.0	0.0	1318734.9	6398663.0	5079928.5	0.0	1770.0	0.0	4.423745	-1.1515617e-06	49.045303	-0.032885425	-10.7326355	21.904472	1.654453e-05	21.904474	21.904358	4.4965315
12	24.762478	0.0	24.762478	24.762478	0.0	0.0	0.0	0.0	1297070.9	6398663.0	5101592.5	0.0	1770.0	0.0	4.733374	3.2663345e-07	43.45842	-0.012501667	-9.68095	22.853514	1.4769334e-05	22.853521	22.853416	4.8269687
13	24.68333	0.0	24.68333	24.68333	0.0	0.0	0.0	0.0	1292350.9	6398663.0	5106312.5	0.0	1770.0	0.0	5.158519	3.2424927e-07	39.67678	-0.030126665	-9.047497	23.765968	1.4638202e-05	23.76598	23.765884	5.2567883
14	24.399527	0.0	24.399527	24.399527	0.0	0.0	0.0	0.0	1278126.9	6398663.0	5120536.5	0.0	1770.0	0.0	5.69093	-3.2424927e-07	35.465656	-0.05162188	-8.254309	24.65869	1.2162245e-05	24.658695	24.658607	5.800136
15	24.442913	0.0	24.442913	24.442913	0.0	0.0	0.0	0.0	1280542.9	6398663.0	5118120.5	0.0	1770.0	0.0	6.111664	6.198883e-08	33.29165	-0.010272926	-7.9195347	25.523935	1.11020145e-05	25.52394	25.523859	6.21964
16	24.304424	0.0	24.304424	24.304424	0.0	0.0	0.0	0.0	1273350.9	6398663.0	5125312.5	0.0	1770.0	0.0	6.5179443	3.5047532e-07	30.232132	-0.028834512	-7.373562	26.380615	1.1160842e-05	26.380623	26.380548	6.633879
17	24.10469	0.0	24.10469	24.10469	0.0	0.0	0.0	0.0	1262414.9	6398663.0	5136248.5	0.0	1770.0	0.0	6.8393607	4.2915343e-07	26.83093	-0.047671616	-6.698271	27.219297	9.680616e-06	27.219303	27.219234	6.96251
18	23.879818	0.0	23.879818	23.879818	0.0	0.0	0.0	0.0	1250502.9	6398663.0	5148160.5	0.0	1770.0	0.0	7.0413527	7.557869e-07	23.58136	-0.052992556	-5.998863	28.029846	1.0657283e-05	28.029856	28.02979	7.177755
19	23.62412	0.0	23.62412	23.62412	0.0	0.0	0.0	0.0	1236974.9	6398663.0	5161688.5	0.0	1770.0	0.0	7.2546425	6.1035155e-07	20.519865	-0.011620685	-5.327653	28.807522	9.90353e-06	28.80752	28.807459	7.423234
20	23.376547	0.0	23.376547	23.376547	0.0	0.0	0.0	0.0	1226110.9	6398663.0	5172552.5	0.0	1772.0	0.0	7.3450246	-1.4305115e-07	18.067492	0.009324426	-4.7847385	29.550508	8.525656e-06	29.550508	29.550451	7.5069423
21	23.381529	0.0	23.381529	23.381529	0.0	0.0	0.0	0.0	1226390.9	6398663.0	5172272.5	0.0	1772.0	0.0	7.453446	-4.839897e-07	16.618284	0.032056913	-4.4629927	30.263836	7.854942e-06	30.263838	30.263784	7.6153636
22	23.507654	0.0	23.507654	23.507654	0.0	0.0	0.0	0.0	1233110.9	6398663.0	5165552.5	0.0	1772.0	0.0	7.67176	4.1007996e-07	15.84999	0.023702353	-4.366065	30.960981	7.416619e-06	30.960985	30.960932	7.8405075
23	23.525322	0.0	23.525322	23.525322	0.0	0.0	0.0	0.0	1234038.9	6398663.0	5164624.5	0.0	1772.0	0.0	8.01589	-3.862381e-07	14.642575	0.022461632	-4.1548996	31.658352	8.744731e-06	31.65835	31.6583	8.176191
24	23.504677	0.0	23.504677	23.504677	0.0	0.0	0.0	0.0	1232654.9	6398663.0	5166008.5	0.0	1772.0	0.0	8.158969	3.0517577e-07	13.251357	-0.04047601	-3.842351	32.348446	8.1280805e-06	32.348454	32.348404	8.3081665
25	23.426342	0.0	23.426342	23.426342	0.0	0.0	0.0	0.0	1228910.9	6398663.0	5169752.5	0.0	1772.0	0.0	8.373354	2.8610229e-08	11.880403	0.006436055	-3.5144014	33.02142	6.866455e-06	33.021423	33.021374	8.560971
26	23.283358	0.0	23.283358	23.283358	0.0	0.0	0.0	0.0	1221382.9	6398663.0	5177280.5	0.0	1772.0	0.0	8.387508	9.775162e-08	10.312706	0.009091512	-3.1045942	33.67361	5.958748e-06	33.673615	33.673573	8.575126
27	23.307306	0.0	23.307306	23.307306	0.0	0.0	0.0	0.0	1223022.9	6398663.0	5175640.5	0.0	1772.0	0.0	8.563074	-4.7683717e-08	9.59871	0.008124258	-2.9550405	34.295555	8.074192e-06	34.29555	34.29551	8.759206
28	23.126976	0.0	23.126976	23.126976	0.0	0.0	0.0	0.0	1213470.9	6398663.0	5185192.5	0.0	1772.0	0.0	8.699133	2.3841858e-08	8.040167	-0.006582656	-2.5200129	34.90817	7.965322e-06	34.908165	34.908123	8.90532
29	23.14332	0.0	23.14332	23.14332	0.0	0.0	0.0	0.0	1214342.9	6398663.0	5184320.5	0.0	1772.0	0.0	8.7445	-4.0769578e-07	7.360157	-0.01774545	-2.3568478	35.484287	7.455757e-06	35.484287	35.484245	8.950688
30	23.228102	0.0	23.228102	23.228102	0.0	0.0	0.0	0.0	1218598.9	6398663.0	5180064.5	0.0	1772.0	0.0	8.869088	4.172325e-07	6.796849	-0.011502152	-2.219449	36.046227	6.1981495e-06	36.04623	36.04619	9.07833
31	23.254293	0.0	23.254293	23.254293	0.0	0.0	0.0	0.0	1220078.9	6398663.0	5178584.5	0.0	1772.0	0.0	8.79087	5.76973e-07	6.282194	0.011260035	-2.1237464	36.59881	1.0502548e-05	36.5988	36.598763	9.000112
32	23.114046	0.0	23.114046	23.114046	0.0	0.0	0.0	0.0	1212502.9	6398663.0	5186160.5	0.0	1772.0	0.0	8.816248	1.4066696e-07	5.147604	0.031599417	-1.7655404	37.145966	5.089441e-06	37.145966	37.14593	9.03249
33	23.10934	0.0	23.10934	23.10934	0.0	0.0	0.0	0.0	1212254.9	6398663.0	5186408.5	0.0	1772.0	0.0	8.926916	-8.8214875e-08	4.6084547	0.011249051	-1.6087806	37.654503	6.9297416e-06	37.6545	37.654465	9.152336
