Epoch	AverageEp_ret	StdEp_ret	MaxEp_ret	MinEp_ret	AverageEp_fairness	StdEp_fairness	MaxEp_fairness	MinEp_fairness	Ep_tx	EP_new	Ep_waiting	Ep_capacity	Ep_rbgused	Ep_bler	Ep_interf	LossPi	LossV	DeltaLossPi	DeltaLossV	AverageVVAL	StdVVAL	MaxVVAL	MinVVAL	Ep_rbginterf
0	29.770763	0.0	29.770763	29.770763	0.0	0.0	0.0	0.0	1560134.9	6398663.0	4838528.5	0.0	1770.0	0.0	11.345167	4.6253206e-07	214.5692	-0.17052601	-158.97758	0.04646462	0.0015574811	0.054476857	0.04441777	11.659516
1	29.592789	0.0	29.592789	29.592789	0.0	0.0	0.0	0.0	1551358.9	6398663.0	4847304.5	0.0	1770.0	0.0	11.667858	-8.010864e-07	147.4452	-0.14304662	-54.342636	9.967761	0.00047145737	9.967933	9.96451	11.872641
2	29.884645	0.0	29.884645	29.884645	0.0	0.0	0.0	0.0	1564856.2	6398663.0	4833807.0	0.0	1769.0	0.0	11.970171	2.7179718e-07	133.25603	-0.12624668	-43.52217	12.91533	0.00013939267	12.915382	12.914365	12.246776
3	29.447495	0.0	29.447495	29.447495	0.0	0.0	0.0	0.0	1541592.2	6398663.0	4857071.0	0.0	1769.0	0.0	12.8010025	-2.0742416e-07	115.994	-0.08233676	-36.800232	15.351006	7.2669856e-05	15.351032	15.3505	13.112302
4	28.782784	0.0	28.782784	28.782784	0.0	0.0	0.0	0.0	1508174.9	6398663.0	4890488.5	0.0	1770.0	0.0	13.793127	-3.7670137e-07	98.59849	-0.07050474	-31.346283	17.54267	4.725223e-05	17.542686	17.542341	14.134866
5	27.981443	0.0	27.981443	27.981443	0.0	0.0	0.0	0.0	1465918.9	6398663.0	4932744.5	0.0	1770.0	0.0	14.532058	3.5524369e-07	81.22601	-0.06386741	-26.19283	19.562502	3.359317e-05	19.562515	19.562271	14.919607
6	26.389908	0.0	26.389908	26.389908	0.0	0.0	0.0	0.0	1382358.9	6398663.0	5016304.5	0.0	1770.0	0.0	16.043016	2.4080276e-07	60.163204	-0.088082895	-20.058502	21.42486	2.6766837e-05	21.424877	21.424685	16.426373
7	25.328444	0.0	25.328444	25.328444	0.0	0.0	0.0	0.0	1326926.9	6398663.0	5071736.5	0.0	1770.0	0.0	16.221025	7.8678134e-08	46.24203	-0.07031116	-15.817329	23.083714	2.1580872e-05	23.083723	23.083565	16.5757
8	24.66541	0.0	24.66541	24.66541	0.0	0.0	0.0	0.0	1291982.9	6398663.0	5106680.5	0.0	1770.0	0.0	17.061953	-4.720688e-07	37.047848	-0.0125431055	-13.038364	24.585257	1.8332388e-05	24.585262	24.585129	17.450483
9	24.664293	0.0	24.664293	24.664293	0.0	0.0	0.0	0.0	1291904.2	6398663.0	5106759.0	0.0	1770.0	0.0	17.8516	9.536743e-08	32.793053	-0.016340334	-11.808716	25.977093	1.6033078e-05	25.977098	25.976982	18.237038
10	24.65093	0.0	24.65093	24.65093	0.0	0.0	0.0	0.0	1291094.9	6398663.0	5107568.5	0.0	1770.0	0.0	18.728556	-4.9114226e-07	29.352728	-0.076382704	-10.965504	27.32763	1.45509575e-05	27.327635	27.327528	19.141882
11	24.478525	0.0	24.478525	24.478525	0.0	0.0	0.0	0.0	1281758.9	6398663.0	5116904.5	0.0	1770.0	0.0	20.271282	-2.1696091e-07	24.584349	-0.05101744	-9.392463	28.655756	1.3280407e-05	28.655762	28.655664	20.769299
12	24.566214	0.0	24.566214	24.566214	0.0	0.0	0.0	0.0	1286622.9	6398663.0	5112040.5	0.0	1770.0	0.0	21.662663	-8.8214875e-08	22.011726	-0.04527344	-8.607522	29.913044	1.17267045e-05	29.913046	29.912962	22.123463
13	24.61828	0.0	24.61828	24.61828	0.0	0.0	0.0	0.0	1289550.9	6398663.0	5109112.5	0.0	1770.0	0.0	23.732256	-6.198883e-08	19.62744	-0.03350217	-7.8764114	31.139376	1.0509474e-05	31.139381	31.139303	24.175749
14	24.613434	0.0	24.613434	24.613434	0.0	0.0	0.0	0.0	1289190.9	6398663.0	5109472.5	0.0	1770.0	0.0	25.424345	-8.4400176e-07	17.240307	-0.002054273	-7.1660566	32.336338	1.1029688e-05	32.336338	32.336266	25.898123
15	24.752367	0.0	24.752367	24.752367	0.0	0.0	0.0	0.0	1296534.9	6398663.0	5102128.5	0.0	1770.0	0.0	26.84876	-3.9815902e-07	15.578098	-0.0074346676	-6.693922	33.500866	8.74889e-06	33.50087	33.500805	27.29586
16	24.767431	0.0	24.767431	24.767431	0.0	0.0	0.0	0.0	1297374.9	6398663.0	5101288.5	0.0	1770.0	0.0	27.7935	8.201599e-07	13.318875	-0.0055340896	-5.8670073	34.647636	9.90353e-06	34.647636	34.64757	28.311586
17	24.61616	0.0	24.61616	24.61616	0.0	0.0	0.0	0.0	1289454.9	6398663.0	5109208.5	0.0	1770.0	0.0	28.888195	-4.5537948e-07	10.800462	-0.02103886	-4.8300157	35.743683	8.110158e-06	35.743683	35.743626	29.375088
18	24.771149	0.0	24.771149	24.771149	0.0	0.0	0.0	0.0	1297686.9	6398663.0	5100976.5	0.0	1770.0	0.0	29.61313	6.4849854e-07	9.861592	-0.033197172	-4.5672503	36.75922	1.009274e-05	36.759216	36.75916	30.286522
19	24.625786	0.0	24.625786	24.625786	0.0	0.0	0.0	0.0	1290000.2	6398663.0	5108663.0	0.0	1770.0	0.0	29.593618	-1.8835068e-07	7.7849913	-0.011035306	-3.6652904	37.763046	7.686402e-06	37.76305	37.762997	30.238148
20	24.815409	0.0	24.815409	24.815409	0.0	0.0	0.0	0.0	1300174.9	6398663.0	5098488.5	0.0	1770.0	0.0	29.858664	4.529953e-08	7.219042	-0.010577235	-3.5032616	38.68368	9.46783e-06	38.68369	38.68364	30.472101
21	25.371965	0.0	25.371965	25.371965	0.0	0.0	0.0	0.0	1329534.9	6398663.0	5069128.5	0.0	1770.0	0.0	32.59841	4.172325e-07	7.727877	-0.012030713	-3.864605	39.597923	7.1162253e-06	39.59793	39.59788	33.299503
22	25.410875	0.0	25.410875	25.410875	0.0	0.0	0.0	0.0	1331782.9	6398663.0	5066880.5	0.0	1770.0	0.0	33.210052	2.5749208e-07	6.6031675	-0.053996254	-3.4328406	40.573856	6.9924554e-06	40.57386	40.573814	33.92471
23	25.420086	0.0	25.420086	25.420086	0.0	0.0	0.0	0.0	1332086.9	6398663.0	5066576.5	0.0	1770.0	0.0	33.89326	-1.0561943e-06	5.371368	-0.047020655	-2.8453314	41.514908	6.5851887e-06	41.514908	41.514862	34.61007
24	25.014616	0.0	25.014616	25.014616	0.0	0.0	0.0	0.0	1310678.9	6398663.0	5087984.5	0.0	1770.0	0.0	34.95229	-2.193451e-07	3.540721	-0.06189479	-1.9238368	42.388783	6.5851887e-06	42.388786	42.38874	35.79165
25	25.132366	0.0	25.132366	25.132366	0.0	0.0	0.0	0.0	1317062.9	6398663.0	5081600.5	0.0	1770.0	0.0	34.50658	-1.8835068e-07	3.1527429	-0.009399729	-1.7230341	43.12458	8.698848e-06	43.12459	43.124554	35.37106
26	25.118101	0.0	25.118101	25.118101	0.0	0.0	0.0	0.0	1316974.9	6398663.0	5081688.5	0.0	1770.0	0.0	34.044014	-1.8119812e-07	2.687328	-0.02678407	-1.5069166	43.83042	5.983119e-06	43.83042	43.83038	34.803234
27	24.567194	0.0	24.567194	24.567194	0.0	0.0	0.0	0.0	1288190.9	6398663.0	5110472.5	0.0	1770.0	0.0	34.465595	1.6450882e-07	1.4091218	-0.018895257	-0.81213164	44.504135	8.181614e-06	44.504143	44.50411	35.27783
28	24.448776	0.0	24.448776	24.448776	0.0	0.0	0.0	0.0	1281894.9	6398663.0	5116768.5	0.0	1770.0	0.0	35.236313	-9.775162e-08	0.9646596	-0.0539574	-0.55084574	45.013878	5.835365e-06	45.013885	45.013847	36.008568
29	24.547424	0.0	24.547424	24.547424	0.0	0.0	0.0	0.0	1287150.9	6398663.0	5111512.5	0.0	1770.0	0.0	35.32896	4.386902e-07	0.87739354	-0.05362051	-0.5221714	45.439796	6.651152e-06	45.439796	45.43976	36.105923
30	24.782715	0.0	24.782715	24.782715	0.0	0.0	0.0	0.0	1299678.9	6398663.0	5098984.5	0.0	1770.0	0.0	36.092564	5.865097e-07	0.96163905	-0.026601475	-0.5981255	45.860558	8.563974e-06	45.860565	45.860527	36.869526
31	24.816048	0.0	24.816048	24.816048	0.0	0.0	0.0	0.0	1301454.9	6398663.0	5097208.5	0.0	1770.0	0.0	36.582703	-6.1035155e-07	0.7788421	-0.018279893	-0.4991439	46.31879	6.29136e-06	46.318798	46.31876	37.359665
32	24.764774	0.0	24.764774	24.764774	0.0	0.0	0.0	0.0	1298734.9	6398663.0	5099928.5	0.0	1770.0	0.0	35.982506	-2.4557113e-07	0.5452883	-0.007530873	-0.36109787	46.747982	6.7811543e-06	46.74798	46.747944	36.851696
33	24.83166	0.0	24.83166	24.83166	0.0	0.0	0.0	0.0	1302294.9	6398663.0	5096368.5	0.0	1770.0	0.0	35.754185	5.3167344e-07	0.47643378	-0.02208322	-0.32142118	47.12103	4.9148935e-06	47.12103	47.120995	36.62337
34	24.752079	0.0	24.752079	24.752079	0.0	0.0	0.0	0.0	1298054.9	6398663.0	5100608.5	0.0	1770.0	0.0	36.0128	-4.4822693e-07	0.30953825	-0.029779017	-0.21111712	47.478672	5.7600664e-06	47.478683	47.478645	36.8732
35	24.81899	0.0	24.81899	24.81899	0.0	0.0	0.0	0.0	1301438.9	6398663.0	5097224.5	0.0	1770.0	0.0	36.466385	4.053116e-08	0.25538385	-0.00774652	-0.17179507	47.775757	9.755487e-06	47.77575	47.775715	37.337082
36	24.869823	0.0	24.869823	24.869823	0.0	0.0	0.0	0.0	1303750.9	6398663.0	5094912.5	0.0	1770.0	0.0	36.830902	4.529953e-08	0.21957813	-0.02060141	-0.15446271	48.04791	1.17576865e-05	48.047924	48.04789	37.66188
37	24.943247	0.0	24.943247	24.943247	0.0	0.0	0.0	0.0	1307782.9	6398663.0	5090880.5	0.0	1770.0	0.0	37.533245	-4.887581e-07	0.2199008	-0.0069757197	-0.16378799	48.3107	8.217109e-06	48.310707	48.310677	38.409634
38	25.242004	0.0	25.242004	25.242004	0.0	0.0	0.0	0.0	1323606.9	6398663.0	5075056.5	0.0	1770.0	0.0	37.729465	-2.3126603e-07	0.30651793	-0.044080514	-0.23497908	48.58594	8.597891e-06	48.585953	48.585915	38.667118
39	25.322226	0.0	25.322226	25.322226	0.0	0.0	0.0	0.0	1327974.9	6398663.0	5070688.5	0.0	1770.0	0.0	37.31311	1.0156632e-06	0.26597047	-0.02994232	-0.20230442	48.92081	6.1510145e-06	48.920807	48.920776	38.189495
40	25.258247	0.0	25.258247	25.258247	0.0	0.0	0.0	0.0	1324422.9	6398663.0	5074240.5	0.0	1770.0	0.0	37.589355	-2.2888183e-07	0.14359863	-0.02056076	-0.10869051	49.23914	6.29136e-06	49.239136	49.239105	38.45695
41	25.506115	0.0	25.506115	25.506115	0.0	0.0	0.0	0.0	1337462.9	6398663.0	5061200.5	0.0	1770.0	0.0	38.492817	-6.651878e-07	0.20777653	-0.022829777	-0.15677486	49.478085	1.2159254e-05	49.4781	49.478065	39.360413
42	25.746424	0.0	25.746424	25.746424	0.0	0.0	0.0	0.0	1350134.9	6398663.0	5048528.5	0.0	1770.0	0.0	38.24994	3.4332277e-07	0.26836008	-0.024166143	-0.21471728	49.767067	6.221583e-06	49.767063	49.767033	39.18759
