Epoch	AverageEp_ret	StdEp_ret	MaxEp_ret	MinEp_ret	AverageEp_fairness	StdEp_fairness	MaxEp_fairness	MinEp_fairness	Ep_tx	EP_new	Ep_waiting	Ep_capacity	Ep_rbgused	Ep_bler	Ep_interf	LossPi	LossV	DeltaLossPi	DeltaLossV	AverageVVAL	StdVVAL	MaxVVAL	MinVVAL	Ep_rbginterf
0	29.724966	0.0	29.724966	29.724966	0.0	0.0	0.0	0.0	1557510.9	6398663.0	4841152.5	0.0	1770.0	0.0	2.8084586	2.0980835e-07	213.7327	-0.17056814	-158.07997	-0.019559352	0.0014830164	-0.015694022	-0.022982037	2.8864212
1	29.788248	0.0	29.788248	29.788248	0.0	0.0	0.0	0.0	1561846.9	6398663.0	4836816.5	0.0	1770.0	0.0	3.0240629	-4.386902e-07	149.83267	-0.15394144	-54.9068	9.852839	0.0003629047	9.852979	9.850328	3.095615
2	29.539455	0.0	29.539455	29.539455	0.0	0.0	0.0	0.0	1547664.2	6398663.0	4850999.0	0.0	1769.0	0.0	3.1375556	-9.274483e-07	130.42172	-0.15487441	-42.471664	12.803	0.00010311182	12.803044	12.802287	3.211035
3	29.521818	0.0	29.521818	29.521818	0.0	0.0	0.0	0.0	1546320.2	6398663.0	4852343.0	0.0	1769.0	0.0	3.0473073	-1.2159347e-07	117.68326	-0.118343614	-37.263535	15.2084255	5.428912e-05	15.2084465	15.208048	3.128239
4	29.15188	0.0	29.15188	29.15188	0.0	0.0	0.0	0.0	1528238.9	6398663.0	4870424.5	0.0	1770.0	0.0	2.996671	-2.4557113e-07	103.07454	-0.11361244	-32.632095	17.410759	3.527925e-05	17.410772	17.410515	3.075853
5	28.75413	0.0	28.75413	28.75413	0.0	0.0	0.0	0.0	1507078.9	6398663.0	4891584.5	0.0	1770.0	0.0	3.0126643	5.102158e-07	88.727425	-0.04800097	-28.257072	19.46507	2.5221756e-05	19.46508	19.464897	3.104333
6	28.164528	0.0	28.164528	28.164528	0.0	0.0	0.0	0.0	1475052.9	6398663.0	4923610.5	0.0	1770.0	0.0	3.0228083	-4.1484833e-07	74.49721	-0.013221351	-24.132687	21.387266	1.9629944e-05	21.387278	21.387135	3.0926433
7	27.607763	0.0	27.607763	27.607763	0.0	0.0	0.0	0.0	1445788.9	6398663.0	4952874.5	0.0	1770.0	0.0	3.113336	-4.7683716e-07	62.44984	-0.0151725365	-20.65131	23.183142	1.5579664e-05	23.18315	23.183035	3.1911416
8	26.997452	0.0	26.997452	26.997452	0.0	0.0	0.0	0.0	1413404.9	6398663.0	4985258.5	0.0	1770.0	0.0	3.2761183	8.4638594e-07	51.5624	-0.024091909	-17.510971	24.867674	1.2811932e-05	24.867678	24.867584	3.3369544
9	26.501537	0.0	26.501537	26.501537	0.0	0.0	0.0	0.0	1388468.9	6398663.0	5010194.5	0.0	1770.0	0.0	3.4132571	-9.536743e-07	43.70266	-0.024624143	-15.379879	26.444605	1.1019788e-05	26.44461	26.44453	3.4755352
10	26.197348	0.0	26.197348	26.197348	0.0	0.0	0.0	0.0	1372644.9	6398663.0	5026018.5	0.0	1770.0	0.0	3.6064136	4.7683716e-07	36.71233	-0.058928918	-13.191193	27.947065	9.980374e-06	27.947071	27.946999	3.677479
11	25.944363	0.0	25.944363	25.944363	0.0	0.0	0.0	0.0	1359420.9	6398663.0	5039242.5	0.0	1770.0	0.0	3.8602133	7.152557e-09	31.148481	-0.06297904	-11.501408	29.36501	8.9055e-06	29.365013	29.364948	3.9485755
12	25.696714	0.0	25.696714	25.696714	0.0	0.0	0.0	0.0	1346532.9	6398663.0	5052130.5	0.0	1770.0	0.0	3.9559214	4.0769578e-07	26.111366	-0.047103703	-9.899746	30.713564	8.038066e-06	30.71357	30.71351	4.0501494
13	25.183743	0.0	25.183743	25.183743	0.0	0.0	0.0	0.0	1319596.9	6398663.0	5079066.5	0.0	1770.0	0.0	4.1378417	-3.7431718e-07	20.713467	0.008452145	-8.10976	31.989473	7.80383e-06	31.989473	31.98942	4.2442875
14	24.679712	0.0	24.679712	24.679712	0.0	0.0	0.0	0.0	1292780.9	6398663.0	5105882.5	0.0	1770.0	0.0	4.2366424	-5.9604645e-08	15.874429	0.025923662	-6.396001	33.16897	6.738099e-06	33.168972	33.168922	4.35814
15	24.310472	0.0	24.310472	24.310472	0.0	0.0	0.0	0.0	1273100.9	6398663.0	5125562.5	0.0	1770.0	0.0	4.546201	-4.3153761e-07	12.243019	-0.081823625	-5.0131636	34.239414	5.9342765e-06	34.239414	34.239372	4.6607666
16	24.33922	0.0	24.33922	24.33922	0.0	0.0	0.0	0.0	1274788.9	6398663.0	5123874.5	0.0	1770.0	0.0	4.93469	-8.106232e-08	10.822204	-0.026139066	-4.5556765	35.207813	6.1981495e-06	35.207817	35.20777	5.049143
17	24.507984	0.0	24.507984	24.507984	0.0	0.0	0.0	0.0	1283660.9	6398663.0	5115002.5	0.0	1770.0	0.0	5.234641	1.8596648e-07	9.8522215	0.087878756	-4.2724	36.147728	6.2681875e-06	36.147728	36.14769	5.347212
18	24.589346	0.0	24.589346	24.589346	0.0	0.0	0.0	0.0	1288092.9	6398663.0	5110570.5	0.0	1770.0	0.0	5.432229	-6.6280364e-07	8.807742	0.042797558	-3.9438376	37.07682	6.1510145e-06	37.076824	37.076786	5.551682
19	24.597355	0.0	24.597355	24.597355	0.0	0.0	0.0	0.0	1290988.9	6398663.0	5107674.5	0.0	1772.0	0.0	5.6997037	-5.6982043e-07	7.735403	0.0193476	-3.5740933	37.988426	8.019942e-06	37.988422	37.988384	5.83307
20	24.740986	0.0	24.740986	24.740986	0.0	0.0	0.0	0.0	1298564.9	6398663.0	5100098.5	0.0	1772.0	0.0	6.091683	3.9100647e-07	6.9216194	0.02973147	-3.2654018	38.874393	4.885196e-06	38.874393	38.87436	6.225049
21	24.748245	0.0	24.748245	24.748245	0.0	0.0	0.0	0.0	1299004.9	6398663.0	5099658.5	0.0	1772.0	0.0	6.785508	-5.340576e-07	5.962488	0.018760858	-2.8966348	39.73828	8.392334e-06	39.738293	39.73826	6.9271126
22	24.806204	0.0	24.806204	24.806204	0.0	0.0	0.0	0.0	1301980.9	6398663.0	5096682.5	0.0	1772.0	0.0	7.4756646	-3.1709672e-07	5.117743	0.032342833	-2.5512576	40.5689	4.733915e-06	40.5689	40.56887	7.6144466
23	24.799274	0.0	24.799274	24.799274	0.0	0.0	0.0	0.0	1301612.9	6398663.0	5097050.5	0.0	1772.0	0.0	8.313314	-6.890297e-07	4.2612085	-0.028381035	-2.18299	41.3642	6.29136e-06	41.364197	41.364166	8.460219
24	24.907234	0.0	24.907234	24.907234	0.0	0.0	0.0	0.0	1307428.9	6398663.0	5091234.5	0.0	1772.0	0.0	8.769663	1.8119812e-07	3.7780051	-0.066795245	-1.9932116	42.115116	5.835365e-06	42.115116	42.115086	8.916568
25	24.776453	0.0	24.776453	24.776453	0.0	0.0	0.0	0.0	1300436.9	6398663.0	5098226.5	0.0	1772.0	0.0	9.097767	2.0980835e-07	2.8724368	-0.029331988	-1.5640391	42.84604	8.698848e-06	42.84603	42.84601	9.264104
26	24.842892	0.0	24.842892	24.842892	0.0	0.0	0.0	0.0	1303868.9	6398663.0	5094794.5	0.0	1772.0	0.0	9.1696615	-6.580353e-07	2.469143	0.044600956	-1.3768362	43.508617	4.577637e-06	43.508617	43.508587	9.400972
27	24.840473	0.0	24.840473	24.840473	0.0	0.0	0.0	0.0	1303204.9	6398663.0	5095458.5	0.0	1772.0	0.0	9.477156	-3.4332277e-07	1.9276521	0.014186608	-1.0923221	44.141182	7.854942e-06	44.14119	44.141167	9.682769
28	24.810617	0.0	24.810617	24.810617	0.0	0.0	0.0	0.0	1301508.9	6398663.0	5097154.5	0.0	1772.0	0.0	9.433677	-6.818771e-07	1.4922677	0.011074203	-0.87036616	44.717255	7.799167e-06	44.717262	44.71723	9.657273
29	24.799713	0.0	24.799713	24.799713	0.0	0.0	0.0	0.0	1301108.9	6398663.0	5097554.5	0.0	1772.0	0.0	9.538417	-2.503395e-07	1.2158877	-0.02592869	-0.7317233	45.24173	3.4543552e-06	45.241734	45.241707	9.771344
30	24.759172	0.0	24.759172	24.759172	0.0	0.0	0.0	0.0	1298948.9	6398663.0	5099714.5	0.0	1772.0	0.0	9.325952	-7.152558e-08	0.93091905	-0.023086883	-0.5708515	45.731842	8.698848e-06	45.731834	45.73181	9.561991
